250 730
155 80 8
155 240 9
155 53 4
156 18 1
156 226 3
156 83 0
156 32 7
156 4 5
157 101 6
157 52 1
157 141 3
158 172 7
158 9 2
158 38 0
159 181 3
159 148 8
159 150 6
159 128 6
159 164 3
160 182 6
160 246 9
160 165 5
161 140 9
161 227 8
161 201 4
161 114 7
162 157 6
163 40 6
163 26 4
163 81 3
164 57 7
164 212 3
165 68 3
165 141 7
165 135 5
165 237 8
165 134 5
166 188 4
166 80 3
166 190 8
167 213 1
168 131 5
168 163 5
169 245 9
170 136 0
170 115 9
170 199 0
171 235 6
171 234 8
171 108 6
171 192 6
171 132 3
172 208 4
172 40 1
173 210 6
174 178 2
175 74 5
176 10 7
176 164 8
176 64 6
176 197 1
176 168 8
177 165 5
177 211 9
177 101 9
177 108 7
177 190 6
178 68 8
179 83 3
179 58 9
180 159 2
180 76 2
180 217 2
180 116 8
180 192 0
181 162 4
182 88 3
182 59 9
182 23 5
182 249 2
183 50 3
183 224 0
183 135 2
183 227 4
184 119 5
185 214 2
185 236 1
185 63 7
186 242 5
186 145 7
186 142 6
186 18 2
187 243 1
187 57 1
188 70 4
188 213 5
189 192 6
189 72 7
189 19 5
189 81 4
190 23 9
191 186 2
191 49 4
191 83 2
191 183 3
191 127 0
192 172 4
193 6 8
194 28 6
194 227 7
195 9 8
195 97 1
195 58 7
196 108 4
196 143 6
197 183 8
197 95 6
198 23 9
198 146 9
198 58 5
199 156 3
199 0 4
199 141 6
199 228 9
200 108 3
200 193 2
200 16 9
200 219 3
201 97 6
201 46 1
201 187 8
201 25 1
202 77 8
202 238 3
202 15 2
202 16 1
203 159 5
203 111 4
203 187 1
203 36 8
204 107 4
204 94 6
205 29 2
206 151 2
206 201 6
207 145 7
207 58 8
207 165 7
208 37 3
208 175 8
209 208 6
209 12 0
209 229 5
209 184 0
209 130 3
210 223 9
210 161 2
211 157 9
212 111 1
212 227 5
212 239 6
212 138 0
212 79 6
213 220 0
213 238 1
213 151 8
213 167 1
213 87 5
214 164 1
214 156 6
214 111 1
215 164 8
215 195 8
215 179 7
215 217 2
216 9 1
216 241 6
216 230 9
216 2 4
217 179 4
217 96 6
217 152 2
217 100 6
218 160 5
219 187 3
220 153 9
221 111 7
221 6 4
221 76 7
221 88 7
222 129 2
222 139 2
223 42 1
223 121 3
223 28 3
224 94 6
224 186 7
224 24 1
224 198 5
224 211 3
225 57 4
225 211 6
225 161 3
225 243 2
226 176 7
226 89 7
227 184 0
227 75 3
227 154 0
227 200 0
228 15 0
228 197 5
229 249 7
230 202 0
230 67 8
230 4 8
231 121 1
231 167 9
231 91 0
231 54 6
231 232 2
232 117 4
232 90 3
233 241 8
233 186 9
233 4 0
233 83 3
233 109 6
234 15 7
234 208 7
235 42 2
235 60 1
236 207 9
236 225 3
236 20 1
236 233 3
236 72 0
237 184 2
237 110 9
237 172 0
238 127 4
238 81 0
239 42 3
239 249 0
240 108 9
240 171 5
241 231 0
242 46 6
242 174 2
242 130 5
242 153 3
243 236 7
243 22 4
243 118 4
243 119 5
244 141 7
245 3 4
245 43 4
246 126 2
246 5 0
246 12 5
246 53 5
247 234 3
247 152 9
247 31 1
247 233 2
247 138 6
248 2 4
249 55 9
249 171 5
249 149 1
249 146 0
249 111 1
